long_ma,z_threshold,squid_profit_day_minus2,squid_profit_day_minus1,squid_profit_day_0,total_squid_profit,total_profit
3,3.0,0,0,0,0,24577
4,1.2,0,0,0,0,24577
4,1.3,0,0,0,0,24577
4,1.4,0,0,0,0,24577
4,1.5,0,0,0,0,24577
4,1.1,0,0,0,0,24577
4,1.6,0,0,0,0,24577
4,1.8,0,0,0,0,24577
4,1.7,0,0,0,0,24577
4,1.9,0,0,0,0,24577
4,2.1,0,0,0,0,24577
4,2.4,0,0,0,0,24577
4,2.0,0,0,0,0,24577
4,2.2,0,0,0,0,24577
4,2.3,0,0,0,0,24577
4,2.7,0,0,0,0,24577
4,2.5,0,0,0,0,24577
4,2.6,0,0,0,0,24577
4,2.9,0,0,0,0,24577
4,2.8,0,0,0,0,24577
4,3.0,0,0,0,0,24577
5,1.0,0,-12249,-11150,-23399,12328
5,1.3,0,0,0,0,24577
5,1.6,0,0,0,0,24577
5,1.2,0,0,0,0,24577
5,1.9,0,0,0,0,24577
5,1.1,0,1510,746,2256,26087
5,1.5,0,0,0,0,24577
5,1.4,0,0,0,0,24577
5,1.8,0,0,0,0,24577
5,2.0,0,0,0,0,24577
5,1.7,0,0,0,0,24577
5,2.1,0,0,0,0,24577
5,2.2,0,0,0,0,24577
5,2.3,0,0,0,0,24577
5,2.9,0,0,0,0,24577
5,2.4,0,0,0,0,24577
5,2.6,0,0,0,0,24577
6,1.1,0,-12404,-12116,-24520,12173
5,2.8,0,0,0,0,24577
5,2.7,0,0,0,0,24577
5,2.5,0,0,0,0,24577
5,3.0,0,0,0,0,24577
6,1.0,0,-32280,-26116,-58396,-7703
6,1.2,0,-1868,-4563,-6431,22709
6,1.3,0,747,-216,531,25324
6,1.4,0,0,0,0,24577
6,1.5,0,0,0,0,24577
6,1.7,0,0,0,0,24577
6,2.3,0,0,0,0,24577
6,2.0,0,0,0,0,24577
6,1.9,0,0,0,0,24577
6,2.2,0,0,0,0,24577
6,1.8,0,0,0,0,24577
6,1.6,0,0,0,0,24577
6,2.4,0,0,0,0,24577
6,2.1,0,0,0,0,24577
6,2.6,0,0,0,0,24577
